observation_date,NGDPNSAXDCBRQ
1996-01-01,189323.3
1996-04-01,204610.7
1996-07-01,221513.2
1996-10-01,239316.3
1997-01-01,219117.0
1997-04-01,232889.5
1997-07-01,246178.5
1997-10-01,253904.1
1998-01-01,235700.7
1998-04-01,251935.9
1998-07-01,258043.3
1998-10-01,256671.2
1999-01-01,250668.0
1999-04-01,268708.9
1999-07-01,274125.6
1999-10-01,294208.0
2000-01-01,276926.9
2000-04-01,292788.6
2000-07-01,308895.8
2000-10-01,320480.8
2001-01-01,312469.8
2001-04-01,323723.6
2001-07-01,332524.4
2001-10-01,347037.6
2002-01-01,342296.7
2002-04-01,367362.8
2002-07-01,379794.5
2002-10-01,399333.2
2003-01-01,397241.6
2003-04-01,418987.3
2003-07-01,439349.8
2003-10-01,462371.6
2004-01-01,444783.5
2004-04-01,481795.0
2004-07-01,505252.3
2004-10-01,525920.4
2005-01-01,499710.4
2005-04-01,535557.4
2005-07-01,552859.2
2005-10-01,582457.6
2006-01-01,554270.5
2006-04-01,581976.9
2006-07-01,617847.7
2006-10-01,655354.9
2007-01-01,631423.0
2007-04-01,670654.7
2007-07-01,691845.9
2007-10-01,726339.3
2008-01-01,712055.2
2008-04-01,769525.2
2008-07-01,812602.6
2008-10-01,815620.1
2009-01-01,756127.1
2009-04-01,803577.5
2009-07-01,852843.2
2009-10-01,920491.5
2010-01-01,886397.4
2010-04-01,944145.0
2010-07-01,997934.7
2010-10-01,1057369.8
2011-01-01,1016530.6
2011-04-01,1086712.2
2011-07-01,1112334.2
2011-10-01,1160804.9
2012-01-01,1129474.1
2012-04-01,1183125.6
2012-07-01,1230448.8
2012-10-01,1271711.4
2013-01-01,1241613.6
2013-04-01,1322580.0
2013-07-01,1354134.1
2013-10-01,1413291.3
2014-01-01,1385981.1
2014-04-01,1422321.8
2014-07-01,1462125.5
2014-10-01,1508524.7
2015-01-01,1456658.7
2015-04-01,1479969.8
2015-07-01,1508228.3
2015-10-01,1550930.3
2016-01-01,1500298.9
2016-04-01,1559050.2
2016-07-01,1577170.5
2016-10-01,1632808.5
2017-01-01,1585673.4
2017-04-01,1630729.6
2017-07-01,1648635.3
2017-10-01,1720440.8
2018-01-01,1682083.1
2018-04-01,1734099.0
2018-07-01,1767855.7
2018-10-01,1820103.2
2019-01-01,1757553.5
2019-04-01,1826761.2
2019-07-01,1880610.2
2019-10-01,1924206.0
2020-01-01,1868094.5
2020-04-01,1752723.6
2020-07-01,1929323.4
2020-10-01,2059455.4
2021-01-01,2156670.1
2021-04-01,2203638.8
2021-07-01,2295851.1
2021-10-01,2355982.1
2022-01-01,2319528.1
2022-04-01,2517481.4
2022-07-01,2601182.0
2022-10-01,2641485.1
2023-01-01,2581018.0
2023-04-01,2727579.9
2023-07-01,2769445.4
2023-10-01,2865301.3
2024-01-01,2753199.8
2024-04-01,2921229.4
2024-07-01,2989913.4
2024-10-01,3080367.5
