observation_date,NGDPRXDCBRA
1996-01-01,721585.9
1997-01-01,746082.7
1998-01-01,748605.2
1999-01-01,752108.2
2000-01-01,785110.3
2001-01-01,796022.5
2002-01-01,820328.8
2003-01-01,829687.3
2004-01-01,877477.0
2005-01-01,905575.0
2006-01-01,941453.8
2007-01-01,998598.8
2008-01-01,1049469.4
2009-01-01,1048149.0
2010-01-01,1127056.1
2011-01-01,1171850.0
2012-01-01,1194363.3
2013-01-01,1230251.8
2014-01-01,1236451.8
2015-01-01,1192610.1
2016-01-01,1153541.2
2017-01-01,1168801.0
2018-01-01,1189648.5
2019-01-01,1204171.5
2020-01-01,1164713.7
2021-01-01,1220184.4
2022-01-01,1256993.6
2023-01-01,1297741.0
2024-01-01,1341810.6
